Country,Name,Category,Class,Soldiers,Morale,Discipline,Training,Recruitment cost,Upkeep cost,Weapon upgrade,Armour upgrade,Primary weapon,Primary_Attack,Charge bonus,Total defence,Armour,Defence skill,Shield,Hit points,Can board ships,Can hide in forest,Can withdraw,Weapon attributes,Hardy,Range,Ammunition,Secondary weapon,Secondary_Attack,Can be supported free in a city,Mount,Can form up and charge,Cantabrian circle,Tertiary weapon,Teriary_Attack,Fire by rank,Gunpowder weapon,Skirmish mode off by default,Knight,Very hardy,Can place stakes,Exploding shot,Can hide anywhere on the battlefield,Can hide in forest - improved,Scare horses
The Byzantine Empire,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Lanternas, Ship, Light,40,5, Normal, Trained,970,275,200,200, Melee,18,0,18,0,18,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Spear Militia, Infantry, Spearmen,60,3, Normal, Trained,310,125,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,TRUE,,,,,,,,,,,,,,,
Denmark,Dismounted Feudal Knights, Infantry, Heavy,48,9, Normal, Trained,570,225,90,70, Sword (Melee),13,3,21,7,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
Denmark,Dismounted Feudal Knights, Infantry, Heavy,48,9, Normal, Trained,570,225,90,70, Sword (Melee),13,3,21,7,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
Denmark,Dismounted Feudal Knights, Infantry, Heavy,48,9, Normal, Trained,570,225,90,70, Sword (Melee),13,3,21,7,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
Denmark,Norse Swordsmen, Infantry, Heavy,48,5, Normal, Trained,400,150,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Norse Swordsmen, Infantry, Heavy,48,5, Normal, Trained,400,150,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Norse Swordsmen, Infantry, Heavy,48,5, Normal, Trained,400,150,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Arquebusiers, Infantry, Missile,48,3, Normal, Trained,460,125,65,50, Arquebus (Missile),14,1,3,0,3,0,1,TRUE,TRUE,TRUE, Armour piercing,,120,20, Weak sword (Melee),6,,,,,,,TRUE,TRUE,TRUE,,,,,,,
Denmark,Arquebusiers, Infantry, Missile,48,3, Normal, Trained,460,125,65,50, Arquebus (Missile),14,1,3,0,3,0,1,TRUE,TRUE,TRUE, Armour piercing,,120,20, Weak sword (Melee),6,,,,,,,TRUE,TRUE,TRUE,,,,,,,
Denmark,Arquebusiers, Infantry, Missile,48,3, Normal, Trained,460,125,65,50, Arquebus (Missile),14,1,3,0,3,0,1,TRUE,TRUE,TRUE, Armour piercing,,120,20, Weak sword (Melee),6,,,,,,,TRUE,TRUE,TRUE,,,,,,,
Denmark,Hand Gunners, Infantry, Missile,48,5, Normal, Trained,650,150,75,55, Hand gun (Missile),13,2,13,7,6,0,1,TRUE,TRUE,TRUE, Armour piercing,,55,20, Sword (Melee),11,,,,,,,,TRUE,,,,,,,,
Denmark,Hand Gunners, Infantry, Missile,48,5, Normal, Trained,650,150,75,55, Hand gun (Missile),13,2,13,7,6,0,1,TRUE,TRUE,TRUE, Armour piercing,,55,20, Sword (Melee),11,,,,,,,,TRUE,,,,,,,,
Denmark,Hand Gunners, Infantry, Missile,48,5, Normal, Trained,650,150,75,55, Hand gun (Missile),13,2,13,7,6,0,1,TRUE,TRUE,TRUE, Armour piercing,,55,20, Sword (Melee),11,,,,,,,,TRUE,,,,,,,,
Denmark,Scouts, Cavalry, Light,32,3, Normal, Untrained,410,150,90,70, Cavalry spear (Melee),7,2,11,4,3,4,1,TRUE,TRUE,TRUE, Armour piercing,,,, Cavalry axe (Melee),7,, Pony,TRUE,,,,,,,,,,,,,
Denmark,Chivalric Knights, Cavalry, Heavy,32,11, Impetuous, Trained,930,250,130,100, Cavalry heavy lance (Melee),13,4,17,8,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Barded horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,Chivalric Knights, Cavalry, Heavy,32,11, Impetuous, Trained,930,250,130,100, Cavalry heavy lance (Melee),13,4,17,8,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Barded horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,Chivalric Knights, Cavalry, Heavy,32,11, Impetuous, Trained,930,250,130,100, Cavalry heavy lance (Melee),13,4,17,8,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Barded horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,General's Bodyguard, Cavalry, Heavy,16,11, Normal, Trained,870,250,120,95, Cavalry heavy lance (Melee),13,4,34,9,5,3,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Armoured horse,,,,,,,,,TRUE,,,,,
Denmark,General's Bodyguard, Cavalry, Heavy,16,11, Normal, Trained,870,250,120,95, Cavalry heavy lance (Melee),13,4,34,9,5,3,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Armoured horse,,,,,,,,,TRUE,,,,,
Denmark,General's Bodyguard, Cavalry, Heavy,16,11, Normal, Trained,870,250,120,95, Cavalry heavy lance (Melee),13,4,34,9,5,3,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Armoured horse,,,,,,,,,TRUE,,,,,
Denmark,Knights Templar, Cavalry, Heavy,32,11, Impetuous, Highly trained,880,250,130,100, Cavalry heavy lance (Melee),13,4,16,7,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Mailed horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,Knights Templar, Cavalry, Heavy,32,11, Impetuous, Highly trained,880,250,130,100, Cavalry heavy lance (Melee),13,4,16,7,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Mailed horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,Knights Templar, Cavalry, Heavy,32,11, Impetuous, Highly trained,880,250,130,100, Cavalry heavy lance (Melee),13,4,16,7,5,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),14,, Mailed horse,TRUE,,,,,,,TRUE,,,,,,
Denmark,Mounted Crossbowmen, Cavalry, Missile,32,3, Normal, Trained,470,175,90,70, Cavalry crossbow (Missile),5,2,10,5,5,0,1,TRUE,TRUE,TRUE, Armour piercing,,120,30, Cavalry sword (Melee),7,, Fast pony,,TRUE,,,,,,,,,,,,
Denmark,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Denmark,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Denmark,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Denmark,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Denmark,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Denmark,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Denmark,Trebuchet, Siege, Missile,16,9, Disciplined, Highly trained,430,250,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,215,3, Trebuchet (Siege),55,,,,, Trebuchet - cow carcass (Siege),12,,,,,,,,,,
Denmark,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Carrack, Ship, Light,50,5, Normal, Trained,1500,350,250,250, Melee,30,0,30,0,30,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Denmark,Longboat, Ship, Light,20,8, Normal, Trained,500,150,100,100, Melee,8,0,5,0,5,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Egypt,Peasants, Infantry, Light,60,1, Low, Untrained,90,90,65,50, Knife (Melee),1,0,1,0,1,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
Egypt,Dismounted Arab Cavalry, Infantry, Spearmen,48,5, Normal, Trained,430,150,75,55, Long spear (Melee),7,3,13,4,3,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
Egypt,Dismounted Arab Cavalry, Infantry, Spearmen,48,5, Normal, Trained,430,150,75,55, Long spear (Melee),7,3,13,4,3,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
Egypt,Dismounted Arab Cavalry, Infantry, Spearmen,48,5, Normal, Trained,430,150,75,55, Long spear (Melee),7,3,13,4,3,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
Egypt,Spear Militia, Infantry, Spearmen,60,3, Normal, Trained,310,125,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,TRUE,,,,,,,,,,,,,,,
Egypt,Halberd Militia, Infantry, Heavy,48,5, Normal, Trained,510,150,75,55, Halberd (Melee),7,3,8,5,3,0,1,TRUE,TRUE,TRUE," Armour piercing, Bonus vs. cavalry = 4",,,,,,TRUE,,,,,,,,,,,,,,,
Egypt,Halberd Militia, Infantry, Heavy,48,5, Normal, Trained,510,150,75,55, Halberd (Melee),7,3,8,5,3,0,1,TRUE,TRUE,TRUE," Armour piercing, Bonus vs. cavalry = 4",,,,,,TRUE,,,,,,,,,,,,,,,
Egypt,Halberd Militia, Infantry, Heavy,48,5, Normal, Trained,510,150,75,55, Halberd (Melee),7,3,8,5,3,0,1,TRUE,TRUE,TRUE," Armour piercing, Bonus vs. cavalry = 4",,,,,,TRUE,,,,,,,,,,,,,,,
Egypt,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
Egypt,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
Egypt,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
Egypt,Naffatun, Infantry, Missile,16,11, Normal, Trained,380,50,55,40, Naphtha bomb (Missile),23,3,12,5,7,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,40,5, Weak sword (Melee),13,,,,,,,,,,,,,,,,
Egypt,Naffatun, Infantry, Missile,16,11, Normal, Trained,380,50,55,40, Naphtha bomb (Missile),23,3,12,5,7,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,40,5, Weak sword (Melee),13,,,,,,,,,,,,,,,,
Egypt,Naffatun, Infantry, Missile,16,11, Normal, Trained,380,50,55,40, Naphtha bomb (Missile),23,3,12,5,7,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,40,5, Weak sword (Melee),13,,,,,,,,,,,,,,,,
Egypt,Sudanese Gunners, Infantry, Missile,48,9, Normal, Trained,570,150,90,70, Arquebus (Missile),16,3,7,0,7,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,120,20, Short sword (Melee),9,,,,,,,TRUE,TRUE,TRUE,,,,,,,
Egypt,Arab Cavalry, Cavalry, Light,32,5, Normal, Trained,510,175,100,75, Cavalry spear (Melee),9,3,13,4,5,4,1,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),9,, Heavy horse,TRUE,,,,,,,,,,,,,
Egypt,Bodyguard, Cavalry, Heavy,16,11, Disciplined, Trained,900,250,120,95, Cavalry spear (Melee),14,4,36,7,7,4,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Easternarmoured horse,,,,,,,,,TRUE,,,,,
Egypt,Bodyguard, Cavalry, Heavy,16,11, Disciplined, Trained,900,250,120,95, Cavalry spear (Melee),14,4,36,7,7,4,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Easternarmoured horse,,,,,,,,,TRUE,,,,,
Egypt,Bodyguard, Cavalry, Heavy,16,11, Disciplined, Trained,900,250,120,95, Cavalry spear (Melee),14,4,36,7,7,4,2,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),14,, Easternarmoured horse,,,,,,,,,TRUE,,,,,
Egypt,Royal Mamluks, Cavalry, Heavy,32,11, Disciplined, Highly trained,1050,250,130,100, Cavalry spear (Melee),14,4,17,6,7,4,1,TRUE,TRUE,TRUE, Armour piercing,,,, Cavalry mace (Melee),13,, Easternarmoured horse,TRUE,,,,,,,,TRUE,,,,,
Egypt,Desert Cavalry, Cavalry, Missile,32,5, Low, Untrained,540,150,100,75, Cavalry javelin (Thrown),8,3,8,0,5,3,1,TRUE,TRUE,TRUE, Armour piercing,,55,8, Cavalry weak sword (Melee),8,, Fast pony,,TRUE,,,,,,,TRUE,,,,,
Egypt,Desert Cavalry, Cavalry, Missile,32,5, Low, Untrained,540,150,100,75, Cavalry javelin (Thrown),8,3,8,0,5,3,1,TRUE,TRUE,TRUE, Armour piercing,,55,8, Cavalry weak sword (Melee),8,, Fast pony,,TRUE,,,,,,,TRUE,,,,,
Egypt,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Egypt,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Egypt,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
Egypt,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Egypt,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Egypt,Catapult, Siege, Missile,16,9, Disciplined, Highly trained,400,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,200,30, Catapult (Siege),55,,,,,,,,,,,,,,,,
Egypt,Baghlah, Ship, Light,50,8, Normal, Trained,1150,350,250,250, Melee,18,0,22,0,22,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Egypt,Baghlah, Ship, Light,50,8, Normal, Trained,1150,350,250,250, Melee,18,0,22,0,22,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Egypt,Baghlah, Ship, Light,50,8, Normal, Trained,1150,350,250,250, Melee,18,0,22,0,22,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Egypt,War Galley, Ship, Light,30,8, Normal, Trained,700,200,150,150, Melee,12,0,12,0,12,0,1,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
England,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
England,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
England,Levy Spearmen, Infantry, Spearmen,60,3, Normal, Trained,310,125,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
England,Levy Spearmen, Infantry, Spearmen,60,3, Normal, Trained,310,125,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
England,Armoured Swordsmen, Infantry, Heavy,48,9, Normal, Trained,610,150,90,70, Sword (Melee),13,3,22,8,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
England,Armoured Swordsmen, Infantry, Heavy,48,9, Normal, Trained,610,150,90,70, Sword (Melee),13,3,22,8,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
England,Armoured Swordsmen, Infantry, Heavy,48,9, Normal, Trained,610,150,90,70, Sword (Melee),13,3,22,8,8,6,1,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,
England,Dismounted English Knights, Infantry, Heavy,48,11, Normal, Trained,530,225,100,75, Poleaxe (Melee),21,6,13,8,5,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,,,,,,,,,,,,,,,,,,,,
England,Dismounted English Knights, Infantry, Heavy,48,11, Normal, Trained,530,225,100,75, Poleaxe (Melee),21,6,13,8,5,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,,,,,,,,,,,,,,,,,,,,
England,Dismounted English Knights, Infantry, Heavy,48,11, Normal, Trained,530,225,100,75, Poleaxe (Melee),21,6,13,8,5,0,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,,,,,,,,,,,,,,,,,,,,
England,Heavy Bill Militia, Infantry, Heavy,48,5, Normal, Trained,300,150,75,55, Bill (Melee),15,5,10,7,3,0,1,TRUE,TRUE,TRUE, Armour piercing,,,,,,TRUE,,,,,,,,,,,,,,,
England,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
England,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
England,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,220,100,65,50, Self bow (Missile),5,1,1,0,1,0,1,TRUE,TRUE,TRUE,,,120,30, Knife (Melee),2,TRUE,,,,,,,,,,,,,,,
